side,bucket,fy,usd_mn
receipt,individual_income,2031,3461053.0
receipt,individual_income,2032,3594393.0
receipt,individual_income,2033,3743854.0000000005
receipt,individual_income,2034,3902609.0
receipt,individual_income,2035,4071909.0000000005
receipt,individual_income,2036,4248998.0
receipt,misc_receipts,2026,51935.99999999999
receipt,misc_receipts,2027,57704.99999999999
receipt,misc_receipts,2028,58426.0
receipt,misc_receipts,2029,65366.0
receipt,misc_receipts,2030,88517.0
receipt,misc_receipts,2031,146431.0
receipt,misc_receipts,2032,184405.0
receipt,misc_receipts,2033,196989.0
receipt,misc_receipts,2034,211065.0
receipt,misc_receipts,2035,224395.99999999997
receipt,misc_receipts,2036,238373.0
receipt,payroll,2026,1825573.0
receipt,payroll,2027,1896664.0
receipt,payroll,2028,1970161.0000000002
receipt,payroll,2029,2048466.0
receipt,payroll,2030,2131557.0
receipt,payroll,2031,2216305.0
receipt,payroll,2032,2301556.0000000005
receipt,payroll,2033,2388562.0
receipt,payroll,2034,2477672.0
receipt,payroll,2035,2570009.000000001
receipt,payroll,2036,2666066.0000000005
receipt,income_payroll,2026,4576864.0
receipt,income_payroll,2027,4843689.0
receipt,income_payroll,2028,5014335.000000001
receipt,income_payroll,2029,5241789.0
receipt,income_payroll,2030,5470536.0
receipt,income_payroll,2031,5677358.0
receipt,income_payroll,2032,5895949.0
receipt,income_payroll,2033,6132416.0
receipt,income_payroll,2034,6380281.0
receipt,income_payroll,2035,6641918.000000002
receipt,income_payroll,2036,6915064.0
