calendar_month,outlay:defence,outlay:education_training,outlay:health_550,outlay:income_security_retirement,outlay:medicare_net,outlay:net_interest,outlay:social_security,outlay:veterans,receipt:corporate,receipt:customs,receipt:estate_gift,receipt:excise,receipt:income_payroll,receipt:misc_receipts,outlay:nondefense_other
10,0.09861116653332554,0.06043348982823256,0.07971208257428977,0.05498119236363792,0.04487644332444281,0.08616609768783283,0.08044301075317083,0.048504027645074894,0.029244236685269098,0.08902828760565074,0.09719474674596966,0.08141474302935366,0.07329763887656465,0.07059319553849198,0.0593163077273303
11,0.0801737775295157,0.06248855062585294,0.08182532498632104,0.07344931668151605,0.0976703604925311,0.08973277197482595,0.08004055182010435,0.08477173751118637,0.00720406758278021,0.08310525238788471,0.08019101996907206,0.0845517522952698,0.06309157758434013,0.07742795684249677,0.13636328132267636
12,0.0926427991959498,0.06891020526051933,0.08592816940781911,0.09136990482626961,0.07683989492581626,0.08520395317512533,0.08039816736628919,0.12590044706036843,0.21497693463233095,0.08179770321514121,0.07682378247950652,0.07511032331214638,0.08304231548645281,0.07351863346678213,0.07368985132328797
1,0.0673080903222461,0.09380892734644339,0.07757366649339516,0.06093095923594261,0.08615924570230979,0.07883426832440758,0.08287797821927022,0.04428947552056488,0.038077242328728785,0.08535928584653406,0.08511780183758676,0.07219688159623183,0.10661962119858347,0.08301687353700768,0.08759914581262244
2,0.0745957304033935,0.08801928819932968,0.08016055593355334,0.1667919304182232,0.08243575296334942,0.07694905117590219,0.08270651828199144,0.08450773298097128,0.0056009984853535024,0.0722218945570679,0.07603761915218536,0.06792151914898983,0.056591786086971754,0.07656561193655607,0.07991799546878778
3,0.09009312962513062,0.07956495035581349,0.08774525243445395,0.11166202820523409,0.08447518291979035,0.10029562811125446,0.08372300302333757,0.09360451027095738,0.03922654786869462,0.07679449878858796,0.06555370740919775,0.08417649521536605,0.0676191884669903,0.07405755620078462,0.06007844377336689
4,0.07394936236208502,0.07619277173271263,0.07786191665944368,0.08821777919598398,0.08526828615158359,0.09715742748929193,0.08364123122773139,0.07733548486061151,0.1993564363273329,0.08054642979630962,0.1361763817312611,0.07614129822844354,0.15582454726746603,0.07682957417591188,0.07126500378848881
5,0.08376717378060253,0.06280260733795798,0.08462506904069199,0.08207398481553553,0.09372130050687925,0.09811166683921435,0.08385467594165949,0.0930221877377821,0.020523495463637242,0.07023274599392135,0.09125928724133323,0.08188470355130263,0.0713828040210153,0.09399641455192713,0.09960067712247433
6,0.08218051793714072,0.167145367757021,0.08309411252752413,0.06242492274503781,0.07983014155340185,0.10089622590349137,0.08904792566943964,0.08128300355304711,0.19065002013408747,0.08232023855379207,0.06725614224010068,0.07719536770304314,0.09019463881918861,0.07699219080233277,0.0817197675528145
7,0.07894059850615963,0.0586726296023786,0.0828683214662039,0.0673780497395341,0.08761240178855052,0.09895161963113551,0.08425449916324627,0.08686490786043484,0.031233222693132816,0.09247894659955283,0.06543249926780552,0.08625797590103915,0.0686863962177569,0.06949518467678162,0.08970479092890729
8,0.09034446119113199,0.11153139235427594,0.0891519761388806,0.08457748537968962,0.13511907002558166,0.0971713001394595,0.08456767883426097,0.13006718744042384,0.004623053145077246,0.09174048908708086,0.08668289081742345,0.08443746362012026,0.06834515112244538,0.13740350844133706,0.08063055887936552
9,0.08739319261331888,0.07042981959946233,0.08945355233742334,0.0561424463933956,0.0459919196457632,-0.009470010451941143,0.08444475969949876,0.0498492975585774,0.2192837446535751,0.09437422756847676,0.07227412110855812,0.12871147639869382,0.09530433485222481,0.09010329982959031,0.08011417629987774
