calendar_month,receipt:income_payroll,receipt:corporate,receipt:excise,receipt:estate_gift,receipt:customs,receipt:misc_receipts,outlay:social_security,outlay:medicare_net,outlay:medicaid,outlay:defence,outlay:net_interest,outlay:veterans,outlay:income_security_retirement,outlay:education_training,outlay:health_other,outlay:nondefense_other
10,0.07463313390374215,0.0653258623070642,0.08796015563702053,0.10897958213433452,0.06337919168058147,0.10864137333473313,0.08012942942434723,0.056470393616918794,0.07637514472186799,0.07448686952200531,0.06629180086668435,0.05825378831627065,0.07559448809707212,0.0829801235386835,0.0801058658495275,0.08540413391865384
11,0.06294091655707174,0.015885428247751427,0.07719137775531296,0.07424752019758635,0.05942227985197221,0.06497436399110494,0.07967051047757945,0.10712423410388869,0.07856293674945554,0.08558189045175181,0.12319208082727107,0.10375679968959084,0.09133080798981921,0.06164720079375055,0.08806225079427818,0.11626941278336175
12,0.08002451769435691,0.1884581092068456,0.07113283395652653,0.06715491290900086,0.05682610647268524,0.05494531939174385,0.07985945538443882,0.05430931498563396,0.08366540277130065,0.10478282828394936,0.036990713098282293,0.10571193499889808,0.09202673897392397,0.06421210874168934,0.08420405748386833,0.09123729675376813
1,0.10543043100395985,0.0418774598836943,0.07654284678180442,0.070364018641254,0.06247430016564574,0.05729954761187335,0.08195398238271139,0.1099575762194693,0.07548002747848681,0.07100166517756021,0.06867638314242679,0.05823577458469806,0.07843359118939158,0.1825129348775439,0.07105305230743067,0.07741057262338247
2,0.05060446946341195,0.015536632395266392,0.07096473822935856,0.06015243562944008,0.061944612870654545,0.08980257103161672,0.08248519038468641,0.08003018943632732,0.08290159402987059,0.0732693147116192,0.1471463536360882,0.08363404139274547,0.08235566964610246,0.08308624009596256,0.08972244815450636,0.07351399885241777
3,0.07084315054044688,0.034236573609791585,0.07183966856891252,0.05771174129747196,0.061238239721830456,0.07271205182148258,0.08842586182959078,0.05558090671900127,0.08789619922966742,0.08294860873027152,0.023062512594278148,0.05837456562867732,0.07622248611380752,0.058107201808357364,0.09015678122343809,0.07476969148099298
4,0.16026321570515328,0.2384543401447399,0.09971741842234175,0.1286055849558932,0.08097259996977187,0.09313777454491909,0.08396477080090735,0.08349182081910995,0.0845851313256994,0.08088949884246499,0.074495725254855,0.09056654776843606,0.08534856194697647,0.05961494535242815,0.08664585719552723,0.08057917678041539
5,0.0719890975813394,0.03169612127091324,0.08006021886675202,0.1095953037511122,0.09599337895774918,0.1075975095474619,0.08430459040558863,0.14616699386696075,0.0862292518974342,0.08964546506480106,0.13521427568823027,0.14035687188086396,0.10363750764818704,0.06004425904319136,0.07437461053919345,0.07973505440600351
6,0.09313739987785044,0.1537243063695002,0.07380935164924221,0.07976925003395573,0.10463271649733384,0.11809881435589228,0.08469637626998648,0.03264931321907253,0.08245078543520841,0.07627293865718607,0.042366062193391854,0.034786137618776525,0.06380773503171126,0.06549382905253107,0.08248070439438655,0.07679654068032561
7,0.0677271008383804,0.03594099363337943,0.08927900654293063,0.057188838739418754,0.11411172927281818,0.08698647880333933,0.08450634411444699,0.10076658863228044,0.08453628897426749,0.08464964758243096,0.07763176919577366,0.08762869614382883,0.08689011417255182,0.055414031851317117,0.08409019728620014,0.08411307122886433
8,0.06480917392602902,0.008155395019638082,0.07941010136625466,0.09391947855957535,0.11942055530280604,0.07895343660907966,0.08491495587598027,0.13628716664455112,0.0839647420847028,0.0906954617547174,0.12624368885061985,0.1379174616590269,0.10001940941920673,0.1063245815670153,0.046012080807738165,0.08903058978725253
9,0.09759739290825797,0.17070877791141578,0.12209228222354321,0.09231133315095702,0.11958428923615122,0.06685075895675317,0.08508853264973619,0.03716550173678607,0.09335249530203854,0.08577581122124212,0.07868863465209855,0.04077738031818727,0.06433288977124982,0.1205625432775298,0.12309209396390534,0.07114046070456168
